album,artist,lyric,song,year
Infinite (1996),Eminem,"You look impeccable, nothing compares",Searchin',1996
Infinite (1996),Eminem,And tapping in your phone conversations through the heat vents,Jealousy Woes II,1996
Infinite (1996),Eminem,Women Singing:,Tonite,1996
Infinite (1996),Eminem,Mother fucker just trying to get his pussy,Jealousy Woes II,1996
Infinite (1996),Eminem,Instead of hunted or being wanted as fugitives,Never 2 Far,1996
Infinite (1996),Eminem,"Immature, Me? Nigga ain't got no dick, no swang in his thang",Jealousy Woes II,1996
Infinite (1996),Eminem,Women's Voice: (Talking over singing),Jealousy Woes II,1996
Infinite (1996),Eminem,If Daiquiris are in debate and not your thing that day,Searchin',1996
Infinite (1996),Eminem,Cause every accusation makes me wanna smack your face in,Jealousy Woes II,1996
Infinite (1996),Eminem,I used to love your company now you always bugging me,Jealousy Woes II,1996
Infinite (1996),Eminem,"He don't buy me no clothes, Nigga ain't got no money, no vibe, no dick",Jealousy Woes II,1996
Infinite (1996),Eminem,"What?!? I ain't whack nigga, I got some raps for all y'all",Open Mic,1996
Infinite (1996),Eminem,And most of all be advised that he's wise,Backstabber,1996
Infinite (1996),Eminem,Severing flesh of fools who never impressed ever infest,Open Mic,1996
Infinite (1996),Eminem,"Yo forgot that President man I'm trying to be king,",Never 2 Far,1996
Infinite (1996),Eminem,If you ain't ever stole a gate you can take a fence (take offense),Open Mic,1996
Infinite (1996),Eminem,"And toss you in Michigan Lake, for fishermen's sake",Open Mic,1996
Infinite (1996),Eminem,"Shiver and shake, quiver and quake",Open Mic,1996
Infinite (1996),Eminem,Verse 2: Eminem,Open Mic,1996
Infinite (1996),Eminem,Point him out bitch I wanna know,Open Mic,1996
Infinite (1996),Eminem,I don't ever get a chance to rap first man!,Open Mic,1996
Infinite (1996),Eminem,His face is up on the bulletin board with a reward,Backstabber,1996
Infinite (1996),Eminem,"I'm forever demented, come up with funk, I'll never be scented",Tonite,1996
Infinite (1996),Eminem,Locking down every block and put up metal detectors,Backstabber,1996
Infinite (1996),Eminem,You wanna see fights I got a match for you,Open Mic,1996
Infinite (1996),Eminem,And in a slug fest I get physical like physicians,Open Mic,1996
Infinite (1996),Eminem,"If I wanna battle, then I chase them in a Jason mask",Open Mic,1996
Infinite (1996),Eminem,Fingers,313,1996
Infinite (1996),Eminem,The way you're hacked and sliced when I fill your back with knives,Open Mic,1996
Infinite (1996),Eminem,Point him out bitch I wanna know,Open Mic,1996
Infinite (1996),Eminem,Who the fuck passed you the mic and said that you can flow?,Open Mic,1996
Infinite (1996),Eminem,Come battle me and you get smacked as hard as you act,Tonite,1996
Infinite (1996),Eminem,Eminem: Hey Kyu!,It's OK,1996
Infinite (1996),Eminem,That's cause you whack!,Open Mic,1996
Infinite (1996),Eminem,"Hey yo, what's up man? Hey, yo you been here all day man",Open Mic,1996
Infinite (1996),Eminem,None of these skills that you just seen come free,313,1996
Infinite (1996),Eminem,I heard a yell the voice sounded familiar,Backstabber,1996
Infinite (1996),Eminem,I make you think you're a best friend then,Backstabber,1996
Infinite (1996),Eminem,"He's going back to the crazy home, I repeat",Backstabber,1996
Infinite (1996),Eminem,"I'm up all night, but everything is all right (It's all right)",It's OK,1996
Infinite (1996),Eminem,Why I oughtta,Backstabber,1996
Infinite (1996),Eminem,"Cause you can be quick, jump the candlestick, burn your back",313,1996
Infinite (1996),Eminem,And chilled on the side and then watched they niggas,Maxine,1996
Infinite (1996),Eminem,So I take it that's the reason I'm hated,313,1996
Infinite (1996),Eminem,You couldn't make the fans throw up their hands if they swallowed their,313,1996
Infinite (1996),Eminem,You want your shit to blow up?,313,1996
Infinite (1996),Eminem,If you ever wanna be one see,313,1996
Infinite (1996),Eminem,Relax your dome like a solo from a saxophone,313,1996
Infinite (1996),Eminem,He better come cleaner then Jay Rue jacking off when he showers,313,1996
Infinite (1996),Eminem,None of these skills you just seen come free,313,1996
Infinite (1996),Eminem,You can bust yours after me if you want to,Open Mic,1996
Infinite (1996),Eminem,I get cynical act a fool then I send a crew back to school,Infinite,1996
Infinite (1996),Eminem,I'll run your brain around the block to jog your fucking memory,313,1996
Infinite (1996),Eminem,I'll stop the alphabet at S and got it down to a T,313,1996
Infinite (1996),Eminem,"So what, you know about a sweet MC, in the 313",313,1996
Infinite (1996),Eminem,"Eminem: So what you know about a sweet MC, in the 313",313,1996
Infinite (1996),Eminem,Maxine: Who dis?,Maxine,1996
Infinite (1996),Eminem,Chorus: Eminem,313,1996
Infinite (1996),Eminem,I'll have you taken back to Christ when you're sacrificed,Open Mic,1996
Infinite (1996),Eminem,Let it be that I stated they hate it now that they see that I made it,313,1996
Infinite (1996),Eminem,I drop beats and you ain't singing or gonna do a thing about,313,1996
Infinite (1996),Eminem,"I'm up all night, but everything is all right (It's all right)",It's OK,1996
Infinite (1996),Eminem,"Harder than LL's Rock the Bells, but you is a ho (now)",313,1996
Infinite (1996),Eminem,So feel the force of my spiritual images,Open Mic,1996
Infinite (1996),Eminem,To represent my temperament,313,1996
Infinite (1996),Eminem,"Intellectually superior, I'll make the whack wearier",Open Mic,1996
Infinite (1996),Eminem,You couldn't see me with binoculars,Tonite,1996
Infinite (1996),Eminem,"With the mic I'm like a dyke, can't no nigga fuck with this",313,1996
