album,artist,lyric,song,year
2Pacalypse Now (1991),tupac,"Bitch ass niggaz, niggaz can't fuck with us Tu', word up",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"And when I hit, be prepared ta jet",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"I think he gonna pull through, he deserve to",Soulja's Story,1991
2Pacalypse Now (1991),tupac,I chose droppin' tha cop,Soulja's Story,1991
2Pacalypse Now (1991),tupac,"And I, change the diapers and clean the shit",Part Time Mutha,1991
2Pacalypse Now (1991),tupac,(Dr. Dre) Got him!,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"Drop tha fuckin' task, now who's tha jack ass",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"They'll try to getcha, they'll sweatcha to get in the picture",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,We squashin these punk motherfuckers in ninety-one,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,No one will ever oppress this race again,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,"Keep my shit cocked, cause tha cops got a glock too",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"I'm only 17, I'm tha new kid",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"Here's tha aneirexic, I'm making it to an exit",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"All you wanted ta be, a soulja, like me",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"Packed with several gats, 'cause I'm also payin' back shit",Soulja's Story,1991
2Pacalypse Now (1991),tupac,I bust a move as smooth as casanova,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,"And just as we was walken out, I caught a bullet in tha head",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"Other cops see me on tha block, and they jock now",Soulja's Story,1991
2Pacalypse Now (1991),tupac,They just don't give a fuck,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,"Every single one got a gun, that'll smoke pow",Soulja's Story,1991
2Pacalypse Now (1991),tupac,Sometimes I do it in vain,Rebel of the Underground,1991
2Pacalypse Now (1991),tupac,"Touch tha button on tha wall, you'll be picken up your own balls",Soulja's Story,1991
2Pacalypse Now (1991),tupac,I got a message for tha warden,Soulja's Story,1991
2Pacalypse Now (1991),tupac,"For every minute you stall, one y'all bleedin'",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"Cause cops should mind they business, when we rush",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"But what will it take, to shake, or break",Part Time Mutha,1991
2Pacalypse Now (1991),tupac,"I tell you like Latifah, motherfucker give me... body...",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"My homie dropped, so I hit tha cop",Violent,1991
2Pacalypse Now (1991),tupac,"All you wanted ta be, a soulja, like me",Soulja's Story,1991
2Pacalypse Now (1991),tupac,Steady strong nobody's gonna like what I pumpin',Words of Wisdom,1991
2Pacalypse Now (1991),tupac,"All you wanted ta be, a soulja, a soulja",Soulja's Story,1991
2Pacalypse Now (1991),tupac,"Straight soulja, 1993, all of it.",Soulja's Story,1991
2Pacalypse Now (1991),tupac,Ooh-wee! This is the life,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,I hate it when real nigga bust,Young Black Male,1991
2Pacalypse Now (1991),tupac,"So slip on the slope, let's skip on the flow",Young Black Male,1991
2Pacalypse Now (1991),tupac,But I'm pissed cause it stays like this,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,I don't sell ya-yo,Young Black Male,1991
2Pacalypse Now (1991),tupac,Us against them all I'm down to brawl if my homies call,If My Homie Calls,1991
2Pacalypse Now (1991),tupac,But I guess that the streets is harder,If My Homie Calls,1991
2Pacalypse Now (1991),tupac,"Now you're pleadin like a bitch, cause you don't know how to... hush...",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"But when you need a friend you can depend on me, call",If My Homie Calls,1991
2Pacalypse Now (1991),tupac,"The first one jumped out and said, Freeze!",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,In many ways we were paid in the old days,If My Homie Calls,1991
2Pacalypse Now (1991),tupac,"I ain't goin' nowhere, no how",I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,I got a nine millimeter Glock pistol,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,Say no to drugs but the governments' keep it,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,That's when I discovered,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,Wicked wicked this way comes,Something Wicked,1991
2Pacalypse Now (1991),tupac,That they can be all that they wanna to be,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,"Punks you gonna roast, host, in a cloud of smoke",Something Wicked,1991
2Pacalypse Now (1991),tupac,"Grab you coat and you hat, 'cause I' m prepared to clamp",Something Wicked,1991
2Pacalypse Now (1991),tupac,"Went out, and had a church of kids",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,Pledge allegiance to a flag that neglects us,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,"Just because we play what tha people want, (Violent)",Violent,1991
2Pacalypse Now (1991),tupac,Fuck y'all punk bitches!,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"Buck, buck, pigs get fucked, don't step ta this",Soulja's Story,1991
2Pacalypse Now (1991),tupac,Ta claim that I'm violent...,Violent,1991
2Pacalypse Now (1991),tupac,"What's next, I don't know and I don't care",Violent,1991
2Pacalypse Now (1991),tupac,"I said, come on, it's time for us ta get away",Violent,1991
2Pacalypse Now (1991),tupac,Thanks to Poppa for supplyin the DANK,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,I didn't know he smoked so I didn't watch him close,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,I turned around it was my homie with tha gun in hand,Violent,1991
2Pacalypse Now (1991),tupac,"And all that other shit, word up!",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,If you investigate you'll find out where it's coming from,Violent,1991
2Pacalypse Now (1991),tupac,(With tons of scratching in the chorus),Violent,1991
2Pacalypse Now (1991),tupac,Tell them niggaz what time it is knahmsayin?,Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"Catch him on the streets, I'ma bring him to his feet, quick",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,Now back to the smoker that robbed me,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,A soulja,Soulja's Story,1991
2Pacalypse Now (1991),tupac,Ready to buck and rip shit up,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,A part time,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,"Now the shit can rest, yo tell him to leave me the fuck alone",Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,I wonder if knows that my income is more than,I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,"I'm wear'en double vest, so aim at my fuckin' chest",Soulja's Story,1991
2Pacalypse Now (1991),tupac,(Freeze nigga) I heard a bullet fire from tha cop's gun,Violent,1991
2Pacalypse Now (1991),tupac,"Niggaz can't fuck with us, word up",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,Trapped in the projects,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,A part time,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,There's much more to life than just poverty,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,They grabbed my homie and threw him to tha concrete,Violent,1991
2Pacalypse Now (1991),tupac,They tried ta say I had some dope in tha back seat,Violent,1991
2Pacalypse Now (1991),tupac,"He's feeling on my chest, with his hand in my dress",Part Time Mutha,1991
2Pacalypse Now (1991),tupac,"I can hear the fear in your flow, you ain't prepared",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"He had tha nerve to, say that I had a curfew",Violent,1991
2Pacalypse Now (1991),tupac,"Check the pose, froze, when you see me close",Something Wicked,1991
2Pacalypse Now (1991),tupac,Two very bloody bodies on the streets,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"'Cause I'm nothin' nice and, I'm icin like Tyson",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,Callin me a slut 'cause my butt's kinda big so,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,You wanna censor something,Violent,1991
2Pacalypse Now (1991),tupac,Ain't scared to use my gat again,Trapped,1991
2Pacalypse Now (1991),tupac,"I wanna tell mom, but would she listen",Part Time Mutha,1991
2Pacalypse Now (1991),tupac,"I'm never ignorant, getten goals accomplished",Violent,1991
2Pacalypse Now (1991),tupac,"I might blow up any minute, did it again",I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,Honour a man that who refuses to respect us,Words of Wisdom,1991
2Pacalypse Now (1991),tupac,Heard enough lies,Violent,1991
2Pacalypse Now (1991),tupac,A part time,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,Don't you know she's got a,Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,(I know she's havin' a baby),Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,(Tupac),Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,I grew up in a home where no one liked me,Part Time Mutha,1991
2Pacalypse Now (1991),tupac,"So now what's next, there ain't nothin' left to sell",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,It's already quick steppin to the niggaz with the props,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"Niggas!, isn't just the blacks",I Don't Give a Fuck,1991
2Pacalypse Now (1991),tupac,"Now, Brenda's gotta make her own way",Brenda's Got a Baby,1991
2Pacalypse Now (1991),tupac,A nigga's tryin' to play me like he know me but he don't,Crooked Ass Nigga,1991
2Pacalypse Now (1991),tupac,"(Uh uh, they can't keep tha black man down)",Trapped,1991
2Pacalypse Now (1991),tupac,"Then I leave you sittin' there, wonder where your money went",Tha' Lunatic,1991
2Pacalypse Now (1991),tupac,"When the kid, didn't even bring the weight bag, instead he",Crooked Ass Nigga,1991
